slug,occupation,isco,lse_2024_group_code,lse_2024_group_label,lse_2024_monthly_median,lse_2024_annual_benchmark,pay_previous,source_pay_previous,pay_dashboard,pay_refresh_method,pay_mapping_level,pay_mapping_confidence,jobs_2023_base,source_jobs_previous,jobs_dashboard_2024_calibrated,jobs_refresh_factor,jobs_refresh_method,source_pay,source_jobs
ux-designer,UX Designer/-in,2166,21,"21 Naturwissenschaftler, Mathematiker und Ingenieure",8730,113000,100000,BFS LSE 2022,113000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,12000,BFS SAKE 2023,12100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 21,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
ki-ingenieur,KI-Ingenieur/-in,2511,25,25 Spezialisten in der Informations- und Kommunikationstechnologie,9949,129000,140000,Schätzung 2024,140000,specialized_source_retained_lse_2024_benchmark_added,"CH-ISCO-19 Berufsgruppe, 2-Steller",benchmark,5000,Schätzung BFS/IKT 2023,5000,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,"Spezialquelle beibehalten (Schätzung 2024); LSE 2024 CH-ISCO 25 Benchmark",BFS SAKE 2024 total-skaliert (2023 Berufsmix)
arzt-aerztin,Arzt / Ärztin (Allgemein),2211,22,22 Spezialisten in Gesundheitsberufen,8000,104000,180000,BFS LSE 2022 / FMH,180000,specialized_source_retained_lse_2024_benchmark_added,"CH-ISCO-19 Berufsgruppe, 2-Steller",benchmark,38000,BFS SAKE 2023,38200,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,"Spezialquelle beibehalten (FMH); LSE 2024 CH-ISCO 22 Benchmark",BFS SAKE 2024 total-skaliert (2023 Berufsmix)
zahnarzt,Zahnarzt / Zahnärztin,2261,22,22 Spezialisten in Gesundheitsberufen,8000,104000,165000,BFS LSE 2022,104000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,15000,BFS SAKE 2023,15100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 22,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
pflegefachmann,Pflegefachmann/-frau,2221,22,22 Spezialisten in Gesundheitsberufen,8000,104000,75000,BFS LSE 2022,104000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,180000,BFS SAKE 2023,181000,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 22,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
physiotherapeut,Physiotherapeut/-in,2264,22,22 Spezialisten in Gesundheitsberufen,8000,104000,80000,BFS LSE 2022,104000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,22000,BFS SAKE 2023,22100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 22,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
apotheker-in,Apotheker/-in,2262,22,22 Spezialisten in Gesundheitsberufen,8000,104000,95000,BFS LSE 2022,104000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,12000,BFS SAKE 2023,12100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 22,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
psychiater-in,Psychiater/-in,2212,22,22 Spezialisten in Gesundheitsberufen,8000,104000,200000,BFS LSE 2022 / FMH,200000,specialized_source_retained_lse_2024_benchmark_added,"CH-ISCO-19 Berufsgruppe, 2-Steller",benchmark,8000,BFS SAKE 2023,8000,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,"Spezialquelle beibehalten (FMH); LSE 2024 CH-ISCO 22 Benchmark",BFS SAKE 2024 total-skaliert (2023 Berufsmix)
rettungssanitaeter,Rettungssanitäter/-in,3258,32,32 Assistenzberufe im Gesundheitswesen,6203,81000,72000,BFS LSE 2022,81000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,8000,BFS SAKE 2023,8000,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 32,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
primarlehrer-in,Primarlehrer/-in,2341,23,23 Lehrkräfte,9697,126000,82000,BFS LSE 2022 / Kanton,82000,specialized_source_retained_lse_2024_benchmark_added,"CH-ISCO-19 Berufsgruppe, 2-Steller",benchmark,55000,BFS SAKE 2023,55300,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,"Spezialquelle beibehalten (Kanton); LSE 2024 CH-ISCO 23 Benchmark",BFS SAKE 2024 total-skaliert (2023 Berufsmix)
